GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20
Gene_72	-9.64166	-8.74228	-9.19425	-9.406	-9.33944	-9.28349	-9.63537	-8.81403	-9.0665	-9.56116	-9.2597	-8.99076	-9.90968	-9.31078	-9.33218	-9.4395	-9.48735	-8.94253	-9.47106	-9.77902
Gene_73	-12.3475	-12.4444	-12.0794	-12.2929	-11.9848	-12.5858	-12.2222	-12.1227	-12.0925	-11.7781	-12.5101	-11.9794	-12.0989	-11.8558	-12.6077	-12.3025	-11.9525	-12.2624	-11.9706	-12.1869
Gene_74	-15.9658	-15.9886	-15.8487	-15.8405	-15.6213	-15.9053	-16.0428	-15.6635	-16.0321	-15.8861	-16.0246	-16.0288	-15.8556	-15.9108	-15.6933	-15.8538	-15.8996	-15.8854	-16.0275	-15.9801
Gene_75	-14.6114	-14.5632	-14.5144	-14.592	-14.542	-14.614	-14.6602	-14.6428	-14.6014	-14.5956	-14.5859	-14.5994	-14.5999	-14.5955	-14.6295	-14.5673	-14.6029	-14.603	-14.5462	-14.5579
Gene_76	-9.43734	-9.08307	-9.20996	-9.44988	-9.47425	-9.62342	-9.5977	-9.41402	-9.17093	-9.72356	-9.56798	-9.15153	-9.30821	-9.25743	-9.20762	-9.28189	-9.66208	-9.55748	-9.31549	-9.50512
Gene_77	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658
Gene_78	-16.4887	-16.0281	-16.3174	-16.2178	-16.456	-16.4279	-16.3936	-16.3589	-16.381	-16.1657	-16.2053	-16.2338	-16.2348	-16.0514	-16.1031	-15.8266	-16.332	-16.0001	-16.0918	-16.1463
Gene_79	-12.4634	-12.1538	-12.3826	-12.591	-12.3725	-12.4951	-12.2417	-12.4349	-12.3254	-12.197	-12.5939	-12.4509	-12.4547	-12.4364	-12.2433	-12.0946	-12.1826	-12.2265	-12.4571	-12.3493
Gene_80	-11.2016	-11.1858	-10.9662	-11.5474	-11.4297	-11.1398	-11.3689	-11.3101	-11.1544	-11.2236	-11.4064	-10.9491	-11.0986	-11.5367	-11.2604	-11.2673	-10.9904	-11.3655	-11.0473	-11.3656
Gene_81	-13.6349	-13.5591	-13.8317	-13.7257	-13.6333	-13.7889	-13.6673	-13.6972	-13.6809	-13.6569	-13.6064	-13.5386	-13.8351	-13.6891	-13.8064	-13.6014	-13.7514	-13.6773	-13.7298	-13.829
Gene_82	-13.0472	-13.1405	-13.0818	-13.0622	-13.0679	-13.1541	-13.0429	-13.0833	-12.7865	-13.1014	-13.3093	-13.1203	-13.0746	-13.1811	-13.2399	-13.1339	-13.0355	-13.2522	-13.0045	-13.1741
Gene_83	-11.7857	-11.6571	-11.6943	-11.5588	-11.752	-11.7402	-11.5317	-11.7508	-11.5249	-11.6044	-11.5387	-11.9407	-11.6496	-11.6852	-11.7723	-11.8523	-11.9814	-11.5789	-12.0013	-12.1953
Gene_84	-15.4539	-15.4367	-15.2418	-15.5118	-15.5608	-15.6914	-15.4677	-15.5994	-15.2744	-15.3467	-15.5765	-15.0999	-15.4438	-15.3903	-15.0348	-15.4808	-15.1849	-15.3213	-15.3516	-15.5062
Gene_85	-15.2308	-15.3959	-15.138	-14.6697	-15.0558	-15.5124	-15.5655	-15.632	-15.4082	-15.395	-15.3749	-15.3991	-15.4012	-15.6023	-15.2918	-15.3512	-15.5772	-15.0187	-14.7155	-15.3747
Gene_86	-8.77901	-8.68728	-8.81762	-8.55685	-9.09808	-8.97962	-9.01488	-9.22826	-8.37944	-8.87474	-9.32715	-8.7042	-9.11273	-8.96438	-9.00797	-9.09809	-8.86547	-8.75606	-8.84302	-8.67795
Gene_87	-10.204	-9.96261	-10.5253	-9.7791	-10.3326	-10.5089	-10.3392	-9.84185	-10.0069	-10.0824	-10.378	-10.1541	-10.1745	-10.2817	-10.3792	-9.77736	-9.98276	-10.1748	-10.277	-10.1981
Gene_88	-10.8453	-10.7795	-11.1652	-10.6109	-10.433	-10.5851	-10.7622	-10.9269	-11.1532	-10.7604	-10.6509	-10.9915	-10.8075	-10.5841	-10.545	-10.8609	-10.9974	-10.8628	-10.7598	-10.9402
Gene_89	-16.2134	-16.3029	-16.308	-16.3161	-16.283	-16.2767	-16.2957	-16.3153	-16.2931	-16.2276	-16.2596	-16.2924	-16.2925	-16.3125	-16.3202	-16.309	-16.2837	-16.2986	-16.3185	-16.3271
Gene_90	-13.243	-13.5168	-13.3379	-13.4747	-13.3966	-13.5343	-13.2664	-13.2807	-13.3615	-13.2408	-13.471	-13.3704	-13.259	-13.3621	-13.2777	-13.1423	-13.4383	-13.2039	-13.197	-13.3355
Gene_91	-11.6329	-11.0752	-11.5102	-11.6665	-11.396	-11.8248	-11.418	-11.6024	-11.4624	-11.6651	-12.0379	-11.5297	-11.2565	-11.1902	-11.5693	-11.7442	-11.2553	-11.867	-11.5353	-11.7717
Gene_92	-14.4487	-14.6576	-14.347	-14.6759	-14.7747	-14.7334	-14.7218	-14.7118	-14.6623	-14.6943	-14.7173	-14.6973	-14.6987	-14.6043	-14.6679	-14.7015	-14.4144	-14.7035	-14.573	-14.6432
Gene_93	-10.779	-10.9261	-11.263	-10.7064	-11.0306	-11.234	-10.8709	-10.8238	-11.0841	-11.1407	-10.9655	-11.2084	-10.7874	-10.7045	-11.2926	-11.2141	-10.9041	-11.2853	-10.9063	-10.9898
Gene_94	-6.59802	-6.65574	-6.61289	-6.20535	-6.84192	-6.7158	-6.92475	-6.45674	-7.02331	-6.64347	-6.61716	-6.1757	-6.54123	-6.43857	-6.56838	-6.52767	-6.52119	-6.43385	-6.67135	-6.69063
Gene_95	-14.8352	-14.7562	-14.6196	-14.7059	-14.7928	-14.7911	-14.895	-14.5133	-14.7299	-14.7243	-14.707	-14.5416	-14.6888	-14.7194	-14.6249	-14.7934	-14.8629	-14.7652	-14.7603	-14.7441
Gene_96	-12.7902	-12.9551	-13.3114	-13.1519	-13.2702	-12.9866	-12.9068	-12.9369	-12.9299	-12.9837	-13.3392	-13.0536	-13.2766	-12.9154	-13.2541	-13.0704	-13.126	-13.1875	-13.0067	-13.2852
Gene_97	-12.642	-12.2522	-12.549	-12.6201	-12.0066	-12.7779	-12.6019	-12.4484	-12.5047	-12.7996	-12.6485	-12.3447	-12.3945	-12.8485	-12.9579	-12.402	-12.5184	-12.3973	-12.2109	-12.4772
Gene_98	-13.9307	-13.9635	-13.8992	-13.8934	-13.9486	-13.8513	-13.9365	-13.9296	-13.956	-13.9394	-13.867	-13.9044	-13.9148	-13.9086	-13.9393	-13.8579	-13.8594	-13.9192	-13.9716	-13.8717
Gene_99	-11.8766	-12.0613	-12.0356	-11.8478	-11.934	-11.9395	-12.1113	-12.0037	-12.0206	-12.007	-11.7402	-11.7954	-11.616	-11.7934	-11.9379	-12.0347	-12.2225	-12.0608	-11.7466	-12.2748
Gene_100	-13.4695	-13.2993	-13.8397	-13.4096	-13.4311	-13.6968	-13.6505	-13.7599	-13.7002	-13.4894	-13.548	-13.3275	-13.6914	-13.649	-13.711	-13.7012	-13.6092	-13.3632	-13.7147	-13.7249
Gene_101	-11.7156	-11.6556	-11.5255	-11.9781	-11.7337	-11.801	-11.6034	-11.2253	-11.8931	-11.3078	-11.744	-11.4446	-11.2547	-11.4974	-11.8756	-11.1829	-11.7307	-11.8821	-11.6912	-12.1252
Gene_102	-12.3217	-12.337	-12.5246	-12.864	-12.5101	-12.6639	-12.6762	-12.6674	-12.2047	-12.552	-12.416	-12.4473	-12.5945	-12.6334	-12.7627	-12.6746	-12.5729	-12.4467	-12.6452	-12.6813
Gene_103	-8.60189	-8.84358	-8.61897	-8.49745	-8.80651	-9.1528	-8.82514	-8.46347	-8.79366	-8.46955	-8.23136	-8.11959	-8.86741	-8.76432	-9.06465	-8.40898	-8.57569	-8.68805	-8.64801	-8.75783
Gene_104	-10.1025	-9.67196	-9.6653	-9.74661	-9.93642	-9.93478	-10.0665	-9.65207	-9.39571	-9.47493	-9.95456	-9.40992	-9.75141	-9.56905	-9.8171	-9.81565	-9.76935	-9.777	-10.1994	-10.1945
Gene_105	-13.0588	-12.8119	-13.0272	-13.0436	-13.1272	-12.9506	-12.9566	-12.898	-13.3192	-12.7025	-12.8659	-12.9143	-12.8839	-12.9351	-12.9586	-12.9335	-12.9477	-12.9586	-13.0507	-13.2079
Gene_106	-12.2974	-12.4842	-12.393	-12.0625	-12.2751	-12.2563	-12.6307	-12.2334	-12.6357	-12.3622	-12.0938	-12.1386	-12.2344	-12.5608	-12.4144	-12.2266	-12.3299	-12.2463	-12.2463	-12.1519
Gene_107	-9.84525	-9.94649	-9.98855	-10.2534	-9.99958	-10.2501	-10.2392	-10.0754	-9.78756	-10.2759	-9.85029	-10.1205	-10.0156	-9.85931	-9.84159	-10.1104	-10.2141	-9.59707	-10.2803	-10.6617
Gene_108	-9.27389	-9.65445	-9.7178	-9.61383	-9.25837	-9.5103	-9.65703	-9.45489	-9.4724	-9.6578	-8.97232	-9.56405	-9.24802	-9.35706	-9.70637	-9.6249	-9.23407	-9.59479	-9.75036	-9.26508
Gene_109	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658
Gene_110	-13.0364	-13.3799	-13.1715	-13.3168	-13.2057	-13.4023	-13.4601	-13.577	-12.9496	-12.9309	-13.4415	-13.4287	-13.4608	-13.1795	-13.1934	-13.1701	-13.1835	-13.1704	-13.3118	-12.9917
Gene_111	-14.5934	-14.3541	-14.6545	-14.8077	-14.5179	-14.8188	-14.6311	-14.6715	-14.5443	-14.1277	-14.8949	-14.5347	-14.7757	-14.7025	-14.8514	-14.665	-14.6089	-14.501	-14.5894	-14.6883
