GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
Gene_234	-8.81382	-8.58909	-8.27569	-8.79997	-8.23491	-8.48791
Gene_235	-13.2553	-13.0579	-12.5802	-12.6388	-12.4457	-12.9734
Gene_236	-16.7112	-16.5202	-16.8156	-16.3768	-15.7408	-16.7482
Gene_237	-13.9059	-13.6838	-13.956	-13.8047	-13.7145	-13.5577
Gene_238	-18.3488	-17.5813	-16.858	-17.5946	-19.2372	-16.0367
Gene_239	-13.5894	-13.5562	-13.5833	-13.6009	-13.5817	-13.6215
Gene_240	-11.9824	-11.3669	-11.1927	-11.7548	-11.7697	-11.2752
Gene_241	-20.2538	-19.5204	-17.5344	-17.0347	-19.3342	-17.3681
Gene_242	-11.1568	-10.5982	-10.2487	-10.5225	-10.5321	-11.1298
Gene_243	-8.94568	-8.42097	-8.63374	-8.88705	-8.78522	-8.88087
Gene_244	-10.8721	-10.9563	-10.8773	-11.4938	-10.2034	-10.9105
Gene_245	-15.1438	-15.1438	-15.1438	-15.1438	-15.1438	-15.1438
Gene_246	-10.7822	-10.3829	-10.394	-10.4277	-10.7944	-10.3771
Gene_247	-16.584	-16.2141	-16.591	-16.4786	-16.5029	-16.3467
Gene_248	-16.9561	-16.3738	-17.0184	-16.1135	-16.4264	-16.0772
Gene_249	-7.11587	-6.89802	-7.01926	-7.32549	-6.88336	-6.8308
Gene_250	-17.0846	-19.4507	-19.349	-16.3258	-19.2643	-17.3129
Gene_251	-15.7629	-15.7629	-15.7629	-15.7629	-15.7629	-15.7629
Gene_252	-14.2193	-14.0697	-14.046	-14.2873	-14.261	-14.099
Gene_253	-13.5907	-13.3105	-13.064	-13.4879	-13.0461	-13.2708
Gene_254	-9.91654	-9.47521	-9.63716	-9.71769	-9.83168	-9.5168
Gene_255	-11.1088	-11.0817	-11.0176	-11.0534	-10.5315	-11.0986
Gene_256	-9.77566	-9.19532	-9.41669	-9.59192	-9.68715	-9.25719
Gene_257	-11.1844	-11.2935	-10.7284	-11.1987	-11.3344	-11.0026
Gene_258	-12.6039	-12.5461	-12.3344	-12.7521	-12.5802	-12.8624
Gene_259	-17.7078	-17.7078	-17.7078	-17.7078	-17.7078	-17.7078
Gene_260	-13.3151	-13.3198	-13.2415	-13.2617	-13.1134	-13.0596
Gene_261	-16.0151	-15.5018	-15.8407	-16.4051	-15.7032	-16.0614
Gene_262	-15.7411	-15.7411	-15.7411	-15.7411	-15.7411	-15.7411
Gene_263	-14.6566	-14.0098	-14.4016	-14.5119	-14.1027	-14.2889
Gene_264	-7.45772	-7.33261	-7.35844	-7.31799	-7.02448	-7.35753
Gene_265	-10.5569	-10.5573	-10.681	-10.4288	-10.1862	-10.3491
Gene_266	-10.6339	-10.2723	-10.5316	-10.5031	-10.2504	-10.6183
Gene_267	-16.6627	-16.6627	-16.6627	-16.6627	-16.6627	-16.6627
Gene_268	-14.1071	-13.5915	-12.9286	-13.421	-13.0226	-13.5446
Gene_269	-14.0692	-14.0692	-14.0692	-14.0692	-14.0692	-14.0692
Gene_270	-12.8047	-12.7858	-12.6004	-12.8044	-12.2172	-12.7919
Gene_271	-11.4106	-10.8408	-11.0258	-11.142	-10.5838	-11.2104
Gene_272	-13.8296	-13.8296	-13.8296	-13.8296	-13.8296	-13.8296
Gene_273	-13.2244	-13.3413	-13.1249	-12.8924	-13.0055	-13.2249
Gene_274	-11.8215	-11.5826	-10.9929	-11.5136	-11.3152	-11.9058
Gene_275	-12.3165	-12.2243	-12.2244	-12.2429	-12.2719	-11.9189
Gene_276	-11.0431	-10.8512	-10.8087	-11.0926	-10.949	-11.2883
Gene_278	-17.1717	-16.925	-16.4432	-16.3422	-15.7606	-15.9896
Gene_279	-13.9981	-13.9245	-13.8957	-13.8978	-13.4956	-14.4389
Gene_280	-16.467	-16.467	-16.467	-16.467	-16.467	-16.467
Gene_281	-17.0632	-19.3859	-15.9687	-17.5723	-17.3638	-16.0165
Gene_283	-11.818	-11.7465	-10.899	-11.7917	-10.7939	-11.9457
Gene_284	-15.4935	-14.4918	-14.2341	-14.8705	-14.3974	-14.5424
Gene_285	-16.4235	-16.4235	-16.4235	-16.4235	-16.4235	-16.4235
Gene_286	-8.48924	-8.61294	-8.13318	-8.17663	-8.02226	-8.44579
Gene_287	-14.8179	-15.2434	-14.7267	-15.1603	-14.8684	-14.6215
Gene_288	-10.882	-10.6623	-10.76	-11.2587	-10.4413	-11.0488
Gene_289	-13.2596	-12.8484	-12.3362	-12.6727	-12.6736	-12.7812
Gene_290	-11.5341	-11.5939	-11.5263	-11.6975	-11.3228	-11.6998
Gene_292	-14.4263	-14.1563	-13.8148	-14.2144	-14.5257	-13.8223
Gene_293	-14.7807	-14.7807	-14.7807	-14.7807	-14.7807	-14.7807
Gene_294	-11.7214	-11.1303	-11.3169	-11.3338	-11.1914	-11.1764
Gene_295	-5.30263	-5.49943	-5.06737	-5.27835	-5.0521	-4.97246
Gene_296	-9.02731	-8.97967	-8.66908	-8.91419	-8.88616	-9.43487
Gene_297	-9.95931	-9.78488	-9.19892	-9.79863	-9.73894	-9.88023
Gene_298	-17.3946	-19.4996	-17.5163	-19.5124	-17.4276	-19.2392
Gene_299	-13.1878	-13.3726	-12.9579	-12.8778	-12.1126	-12.9078
Gene_300	-14.8914	-14.3045	-13.9759	-14.375	-13.6994	-14.2659
Gene_301	-17.44	-17.44	-17.44	-17.44	-17.44	-17.44
Gene_302	-12.9094	-12.1659	-12.3072	-13.0256	-12.4853	-12.2955
Gene_303	-10.8958	-10.8636	-10.2294	-10.1203	-10.2039	-11.1049
Gene_304	-12.7323	-12.417	-12.393	-12.2901	-12.0988	-12.3501
Gene_305	-10.9525	-10.8811	-10.6549	-10.8792	-10.4492	-10.7015
Gene_306	-9.42776	-9.3623	-9.19527	-9.39134	-9.17862	-9.20797
Gene_307	-14.9779	-14.6391	-14.5835	-14.6461	-14.5383	-14.7834
Gene_308	-8.03789	-7.90007	-7.28285	-7.54692	-7.52217	-7.91179
Gene_309	-16.5358	-16.3352	-16.525	-16.4526	-15.8351	-16.5972
Gene_310	-14.1688	-14.2946	-14.4254	-14.1285	-13.7397	-14.2903
Gene_311	-13.8591	-13.6634	-13.2692	-14.1657	-13.5756	-13.6745
Gene_312	-15.0281	-14.6628	-14.6598	-14.7871	-14.4354	-14.6316
Gene_313	-17.8745	-17.8745	-17.8745	-17.8745	-17.8745	-17.8745
Gene_314	-10.336	-10.4764	-10.0567	-10.322	-10.083	-10.7383
Gene_315	-7.78713	-8.19534	-7.71676	-7.68917	-7.83829	-8.02521
Gene_316	-12.1743	-12.2343	-11.8838	-12.1441	-11.896	-12.2994
Gene_317	-13.1388	-12.8606	-13.1138	-13.0285	-13.2939	-13.3292
Gene_318	-14.6237	-14.405	-14.7183	-14.7242	-14.5528	-14.3717
Gene_319	-12.1964	-12.3725	-11.7716	-12.0759	-11.8263	-12.7403
Gene_320	-11.9281	-11.6203	-11.4425	-11.7127	-11.2349	-11.3773
Gene_321	-14.2312	-13.8887	-14.4754	-14.1569	-13.9088	-14.1165
Gene_322	-15.1119	-15.1954	-15.2071	-15.2886	-15.1618	-15.2124
Gene_324	-13.5431	-13.847	-13.4075	-13.4958	-13.1191	-13.6874
Gene_325	-9.68441	-9.25567	-9.10155	-9.34336	-9.36437	-9.33676
Gene_326	-13.0213	-12.9913	-13.1691	-12.8934	-12.5936	-12.9791
Gene_327	-17.8745	-17.8745	-17.8745	-17.8745	-17.8745	-17.8745
Gene_328	-15.8078	-15.8078	-15.8078	-15.8078	-15.8078	-15.8078
Gene_329	-18.0745	-18.0745	-18.0745	-18.0745	-18.0745	-18.0745
Gene_331	-9.12971	-8.62618	-9.10355	-8.91444	-8.49044	-8.70953
Gene_332	-13.1686	-13.0131	-12.95	-13.1859	-12.9372	-12.861
Gene_333	-12.3286	-12.0525	-12.041	-12.2593	-12.0278	-12.2204
Gene_335	-12.2752	-11.7813	-11.6035	-12.0399	-11.6885	-12.1863
Gene_336	-11.6598	-11.5108	-11.1521	-11.2966	-11.3833	-11.6289
Gene_337	-9.76563	-9.26374	-9.28937	-9.61271	-9.39673	-10.0398
Gene_338	-17.3288	-17.3288	-17.3288	-17.3288	-17.3288	-17.3288
Gene_339	-20.2178	-19.4842	-19.3825	-17.6231	-16.1389	-17.337
Gene_340	-9.92095	-9.12446	-9.17677	-9.6197	-9.50886	-9.77547
Gene_341	-11.9052	-11.4779	-11.1848	-11.8325	-11.4008	-11.5907
Gene_342	-14.4094	-14.3645	-14.2086	-14.3953	-13.9062	-14.3469
Gene_343	-11.4237	-11.0102	-11.466	-11.7594	-10.8525	-11.1686
Gene_344	-8.06146	-8.12078	-7.99242	-8.36512	-8.26746	-8.17421
